Season,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Home_Last_5_Wins,Away_Last_5_Wins,Result_Encoded,Home_Last_5_Points,Away_Last_5_Points,H2H_Home_Wins,H2H_Home_Losses,H2H_Away_Wins,H2H_Away_Losses,H2H_Draws
2013,Jamhuuriya FC,Jazeera SC,2,3,-1,1,1,0,-1,5,1,1,3,3,1,0
2013,Ummah Hospital,Gantaalaha Afgooye FC,2,1,1,-1,2,1,1,8,5,1,0,0,1,1
2013,Bariga Dhexe,Gasko FC,6,0,6,-6,0,0,1,0,1,1,0,0,1,1
2013,SomaliFruit FC,Madbacadda FC,2,3,-1,1,1,1,-1,4,6,1,1,1,1,0
2013,Waxool FC,Raadsan FC,1,1,0,0,0,2,0,0,8,0,1,1,0,1
2013,Albeder,Gantaalaha Afgooye FC,3,2,1,-1,0,1,1,2,5,1,0,0,1,1
2013,Jamhuuriya FC,Gasko FC,1,0,1,-1,1,0,1,5,1,3,1,1,3,0
2013,Ummah Hospital,Madbacadda FC,2,0,2,-2,2,1,1,8,6,1,0,0,1,1
2013,Geeska Afrika FC,Raadsan FC,1,2,-1,1,0,2,-1,0,8,1,4,4,1,1
2013,Sahafi FC,SomaliFruit FC,3,1,2,-2,1,1,1,5,4,4,0,0,4,0
2013,Bariga Dhexe,Waxool FC,1,1,0,0,0,2,0,0,6,1,2,2,1,1
2013,Jazeera SC,Gasko FC,1,0,1,-1,1,0,1,3,1,4,0,0,4,0
2013,Gantaalaha Afgooye FC,Madbacadda FC,1,0,1,-1,2,1,1,8,6,1,0,0,1,1
2013,Midnimo FC,Raadsan FC,1,2,-1,1,2,2,-1,7,8,2,4,4,2,1
2013,Badbaado FC,SomaliFruit FC,0,5,-5,5,0,1,-1,0,4,0,2,2,0,0
2013,Jamhuuriya FC,Waxool FC,1,1,0,0,1,2,0,5,6,0,0,0,0,2
2013,Ummah Hospital,Sahafi FC,3,1,2,-2,2,0,1,8,1,1,1,1,1,0
2013,Geeska Afrika FC,Bariga Dhexe,0,2,-2,2,0,1,-1,0,4,0,2,2,0,0
2013,Albeder,Madbacadda FC,0,1,-1,1,0,1,-1,2,6,1,1,1,1,0
2013,Jazeera SC,Waxool FC,1,3,-2,2,1,2,-1,3,6,1,2,2,1,1
2013,Gantaalaha Afgooye FC,Sahafi FC,0,3,-3,3,2,0,-1,8,1,1,1,1,1,0
2013,Midnimo FC,Bariga Dhexe,1,0,1,-1,2,1,1,7,4,1,1,1,1,0
2013,Badbaado FC,Ummah Hospital,1,1,0,0,0,0,0,0,4,0,1,1,0,1
2013,Jamhuuriya FC,Geeska Afrika FC,1,1,0,0,1,1,0,5,4,1,2,2,1,1
2013,SomaliFruit FC,Albeder,1,1,0,0,1,1,0,4,6,1,0,0,1,1
2013,Gasko FC,Waxool FC,2,5,-3,3,3,2,-1,9,6,0,2,2,0,0
2013,Madbacadda FC,Sahafi FC,1,1,0,0,0,0,0,0,1,0,0,0,0,1
2013,Jazeera SC,Geeska Afrika FC,1,1,0,0,1,1,0,3,4,3,0,0,3,1
2013,Gantaalaha Afgooye FC,Badbaado FC,0,2,-2,2,2,0,-1,8,2,0,2,2,0,0
2013,Midnimo FC,Jamhuuriya FC,1,1,0,0,2,1,0,7,3,1,1,1,1,2
2013,Albeder,Sahafi FC,0,3,-3,3,0,0,-1,2,1,0,2,2,0,0
2013,Raadsan FC,Bariga Dhexe,1,2,-1,1,2,1,-1,8,4,0,2,2,0,0
2013,SomaliFruit FC,Ummah Hospital,1,1,0,0,1,0,0,4,4,1,0,0,1,1
2013,Gasko FC,Geeska Afrika FC,4,2,2,-2,3,1,1,9,4,3,1,1,3,0
2013,Madbacadda FC,Badbaado FC,1,2,-1,1,0,0,-1,0,2,1,1,1,1,0
2013,Waxool FC,Geeska Afrika FC,1,1,0,0,0,1,0,0,4,1,0,0,1,1
2013,Raadsan FC,Jamhuuriya FC,0,2,-2,2,2,1,-1,8,3,2,2,2,2,0
2013,Gasko FC,Midnimo FC,0,0,0,0,3,3,0,9,9,0,2,2,0,2
2013,Bariga Dhexe,Jamhuuriya FC,0,1,-1,1,0,1,-1,0,3,0,2,2,0,0
2013,Waxool FC,Midnimo FC,3,0,3,-3,0,3,1,0,9,2,0,0,2,0
2013,Raadsan FC,Jazeera SC,3,2,1,-1,2,0,1,8,1,3,1,1,3,1
2013,Jazeera SC,Midnimo FC,2,1,1,-1,1,3,1,3,9,1,4,4,1,3
2013,Midnimo FC,Geeska Afrika FC,2,1,1,-1,2,1,1,7,4,4,2,2,4,0
2013,Ummah Hospital,Albeder,2,2,0,0,2,1,0,8,6,0,0,0,0,2
2013,Jazeera SC,Bariga Dhexe,0,3,-3,3,1,1,-1,3,4,1,3,3,1,0
2013,Badbaado FC,Sahafi FC,0,2,-2,2,0,0,-1,0,1,0,6,6,0,0
2013,Gantaalaha Afgooye FC,SomaliFruit FC,1,0,1,-1,2,1,1,8,4,1,1,1,1,0
2013,Gasko FC,Raadsan FC,2,1,1,-1,3,2,1,9,8,1,3,3,1,0
2013,Jazeera SC,Jamhuuriya FC,3,2,1,-1,1,1,1,3,3,3,1,1,3,0
2013,Albeder,Badbaado FC,1,1,0,0,0,0,0,2,2,0,0,0,0,2
2013,Gantaalaha Afgooye FC,Ummah Hospital,1,1,0,0,2,0,0,8,4,0,1,1,0,1
2013,Gasko FC,Bariga Dhexe,0,0,0,0,3,1,0,9,4,0,1,1,0,1
2013,Raadsan FC,Waxool FC,2,1,1,-1,2,2,1,8,6,1,0,0,1,1
2013,Madbacadda FC,SomaliFruit FC,0,3,-3,3,0,1,-1,0,4,1,1,1,1,0
2013,Gantaalaha Afgooye FC,Albeder,1,1,0,0,2,1,0,8,6,0,1,1,0,1
