date,home,score,away
06/09/2013 , SomaliFruit FC , 1 : 3 , Sahafi FC 
09/09/2013 , Albeder , 1 : 1 , 
11/09/2013 , Madbacadda FC , 3 : 3 , Gantaalaha Afgooye FC 
13/09/2013 , SomaliFruit FC , 1 : 0 , Badbaado FC 
16/09/2013 , Sahafi FC , 4 : 2 , Ummah Hospital 
18/09/2013 , Madbacadda FC , 1 : 2 , Albeder 
20/09/2013 , SomaliFruit FC , 1 : 1 , 
23/09/2013 , Sahafi FC , 1 : 2 , Gantaalaha Afgooye FC 
25/09/2013 , Ummah Hospital , 2 : 1 , Badbaado FC 
27/09/2013 , Albeder , 2 : 3 , SomaliFruit FC 
02/10/2013 , Ummah Hospital , 2 : 2 , 
04/10/2013 , Badbaado FC , 1 : 0 , Gantaalaha Afgooye FC 
07/10/2013 , Sahafi FC , 3 : 1 , Albeder 
09/10/2013 , Ummah Hospital , 2 : 3 , SomaliFruit FC 
11/10/2013 , Badbaado FC , 0 : 2 , Madbacadda FC 
14/10/2013 , Gantaalaha Afgooye FC , 1 : 0 , 
21/04/2013 , Geeska Afrika FC , 2 : 1 , Midnimo FC 
23/04/2013 , Bariga Dhexe , 2 : 1 , Jazeera SC 
25/04/2013 , Waxool FC , 6 : 0 , 
28/04/2013 , Raadsan FC , 4 : 2 , Gasko FC 
30/04/2013 , Jamhuuriya FC , 2 : 3 , Jazeera SC 
02/05/2013 , Geeska Afrika FC , 2 : 1 , 
05/05/2013 , Bariga Dhexe , 6 : 0 , Gasko FC 
07/05/2013 , Waxool FC , 1 : 1 , Raadsan FC 
09/05/2013 , Midnimo FC , 2 : 0 , 
12/05/2013 , Jamhuuriya FC , 1 : 0 , Gasko FC 
14/05/2013 , Geeska Afrika FC , 1 : 2 , Raadsan FC 
16/05/2013 , Bariga Dhexe , 1 : 1 , Waxool FC 
19/05/2013 , Jazeera SC , 1 : 0 , Gasko FC 
21/05/2013 , Midnimo FC , 1 : 2 , Raadsan FC 
23/05/2013 , Jamhuuriya FC , 1 : 1 , Waxool FC 
26/05/2013 , Geeska Afrika FC , 0 : 2 , Bariga Dhexe 
28/05/2013 , , 0 : 1 , Raadsan FC 
30/05/2013 , Jazeera SC , 1 : 3 , Waxool FC 
02/06/2013 , Midnimo FC , 1 : 0 , Bariga Dhexe 
04/06/2013 , Jamhuuriya FC , 1 : 1 , Geeska Afrika FC 
06/06/2013 , Gasko FC , 2 : 5 , Waxool FC 
09/06/2013 , , 0 : 4 , Bariga Dhexe 
11/06/2013 , Jazeera SC , 1 : 1 , Geeska Afrika FC 
13/06/2013 , Midnimo FC , 1 : 1 , Jamhuuriya FC 
16/06/2013 , Raadsan FC , 1 : 2 , Bariga Dhexe 
18/06/2013 , Gasko FC , 4 : 2 , Geeska Afrika FC 
20/06/2013 , , 1 : 2 , Jamhuuriya FC 
24/06/2013 , Waxool FC , 1 : 1 , Geeska Afrika FC 
25/06/2013 , Raadsan FC , 0 : 2 , Jamhuuriya FC 
26/06/2013 , Gasko FC , 0 : 0 , Midnimo FC 
27/06/2013 , , 0 : 3 , Jazeera SC 
28/06/2013 , Bariga Dhexe , 0 : 1 , Jamhuuriya FC 
30/06/2013 , Waxool FC , 3 : 0 , Midnimo FC 
01/07/2013 , Raadsan FC , 3 : 2 , Jazeera SC 
02/07/2013 , Gasko FC , 4 : 1 , 
03/07/2013 , Jazeera SC , 2 : 1 , Midnimo FC 
11/08/2013 , Midnimo FC , 2 : 1 , Geeska Afrika FC 
13/08/2013 , Jazeera SC , 0 : 3 , Bariga Dhexe 
15/08/2013 , , 1 : 4 , Waxool FC 
18/08/2013 , Gasko FC , 2 : 1 , Raadsan FC 
20/08/2013 , Jazeera SC , 3 : 2 , Jamhuuriya FC 
22/08/2013 , , 2 : 2 , Geeska Afrika FC 
25/08/2013 , Gasko FC , 0 : 0 , Bariga Dhexe 
27/08/2013 , Raadsan FC , 2 : 1 , Waxool FC 
29/08/2013 , , 0 : 1 , Midnimo FC 
01/09/2013 , Gasko FC , 1 : 2 , Jamhuuriya FC 
03/09/2013 , Raadsan FC , 1 : 1 , Geeska Afrika FC 
05/09/2013 , Waxool FC , 3 : 1 , Bariga Dhexe 
08/09/2013 , Gasko FC , 0 : 1 , Jazeera SC 
10/09/2013 , Raadsan FC , 0 : 0 , Midnimo FC 
12/09/2013 , Waxool FC , 0 : 0 , Jamhuuriya FC 
15/09/2013 , Bariga Dhexe , 3 : 0 , Geeska Afrika FC 
17/09/2013 , Raadsan FC , 6 : 1 , 
19/09/2013 , Waxool FC , 1 : 1 , Jazeera SC 
22/09/2013 , Bariga Dhexe , 6 : 0 , Midnimo FC 
24/09/2013 , Geeska Afrika FC , 1 : 3 , Jamhuuriya FC 
26/09/2013 , Waxool FC , 3 : 1 , Gasko FC 
29/09/2013 , Bariga Dhexe , 10 : 1 , 
01/10/2013 , Geeska Afrika FC , 2 : 3 , Jazeera SC 
03/10/2013 , Jamhuuriya FC , 2 : 0 , Midnimo FC 
08/10/2013 , Bariga Dhexe , 2 : 1 , Raadsan FC 
10/10/2013 , Geeska Afrika FC , 3 : 0 , Gasko FC 
13/10/2013 , Jamhuuriya FC , 8 : 0 , 
15/10/2013 , Midnimo FC , 2 : 2 , Jazeera SC 
16/10/2013 , Geeska Afrika FC , 1 : 5 , Waxool FC 
17/10/2013 , Jamhuuriya FC , 0 : 1 , Raadsan FC 
18/10/2013 , Midnimo FC , 2 : 2 , Gasko FC 
19/10/2013 , Jazeera SC , 3 : 0 , 
20/10/2013 , Jamhuuriya FC , 3 : 2 , Bariga Dhexe 
21/10/2013 , Midnimo FC , 1 : 3 , Waxool FC 
22/10/2013 , Jazeera SC , 2 : 3 , Raadsan FC 
23/10/2013 , , 0 : 1 , Gasko FC 
08/11/2013 , Heegan S.C , 3 : 2 , Gaadiidka FC 
