Season,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Result,Home_Last_5_Wins,Away_Last_5_Wins,H2H_Home_Wins,H2H_Home_Losses,H2H_Away_Wins,H2H_Away_Losses,H2H_Draws,Home_Team_Avg_Goals_Scored,Home_Team_Avg_Goals_Conceded,Away_Team_Avg_Goals_Scored,Away_Team_Avg_Goals_Conceded,Result_Encoded,Home_Team_Recent_Form,Away_Team_Recent_Form,H2H_Home_Win_Ratio,H2H_Away_Win_Ratio,Goal_Difference
2012, Mogadishu City Club , Jeenyo  FC ,1,1,0,0,Draw,2,1,0,0,0,0,0,1.7671232876712328,0.9041095890410958,1.5846153846153845,1.4,0.0,1.0,0.0,,,0
2012, Horseed S.C , Dekedda SC ,2,1,1,-1,Win,1,1,0,0,0,0,0,1.5714285714285714,0.935064935064935,1.662162162162162,0.8648648648648649,1.0,2.0,2.0,,,1
2012, Badbaado FC , Elman FC ,2,5,-3,3,Loss,0,4,0,1,1,0,0,0.6521739130434783,2.9565217391304346,1.75,1.144736842105263,,,0.0,0.0,1.0,-3
2012, Jeenyo  FC , Sahafi FC ,1,1,0,0,Draw,1,1,0,0,0,0,1,1.4366197183098592,1.5211267605633803,1.34375,1.34375,0.0,1.0,2.0,0.0,0.0,0
2012, Dekedda SC , Heegan S.C ,2,4,-2,2,Loss,0,2,0,0,0,0,1,1.7333333333333334,1.04,1.917808219178082,0.8767123287671232,,0.0,0.0,0.0,0.0,-2
2012, Horseed S.C , Mogadishu City Club ,0,2,-2,2,Loss,2,2,0,0,0,0,1,1.5714285714285714,0.935064935064935,1.96,0.7333333333333333,,2.0,1.0,0.0,0.0,-2
2012, Elman FC , Jeenyo  FC ,1,2,-1,1,Loss,4,1,0,0,0,0,1,1.8493150684931507,1.3287671232876712,1.5846153846153845,1.4,,3.0,0.0,0.0,0.0,-1
2012, Dekedda SC , Badbaado FC ,5,1,4,-4,Win,0,0,0,0,0,0,0,1.7333333333333334,1.04,0.8260869565217391,2.4347826086956523,1.0,1.0,5.0,,,4
2012, Horseed S.C , Sahafi FC ,0,0,0,0,Draw,2,1,0,0,0,0,1,1.5714285714285714,0.935064935064935,1.34375,1.34375,0.0,2.0,2.0,0.0,0.0,0
2012, Mogadishu City Club , Heegan S.C ,1,1,0,0,Draw,2,2,0,1,1,0,0,1.7671232876712328,0.9041095890410958,1.917808219178082,0.8767123287671232,0.0,1.0,0.0,0.0,1.0,0
2012, Dekedda SC , Elman FC ,2,3,-1,1,Loss,1,3,0,1,1,0,0,1.7333333333333334,1.04,1.75,1.144736842105263,,1.0,0.0,0.0,1.0,-1
2012, Horseed S.C , Jeenyo  FC ,1,2,-1,1,Loss,2,2,0,0,0,0,1,1.5714285714285714,0.935064935064935,1.5846153846153845,1.4,,2.0,0.0,0.0,0.0,-1
2012, Mogadishu City Club , Badbaado FC ,2,2,0,0,Draw,2,0,0,0,0,0,0,1.7671232876712328,0.9041095890410958,0.8260869565217391,2.4347826086956523,0.0,1.0,4.0,,,0
2012, Heegan S.C , Sahafi FC ,2,0,2,-2,Win,2,0,0,0,0,0,0,1.5789473684210527,0.8947368421052632,1.34375,1.34375,1.0,3.0,3.0,,,2
2012, Elman FC , Horseed S.C ,2,0,2,-2,Win,4,2,0,0,0,0,0,1.8493150684931507,1.3287671232876712,1.4583333333333333,1.1805555555555556,1.0,3.0,1.0,,,2
2012, Mogadishu City Club , Dekedda SC ,1,2,-1,1,Loss,2,1,0,0,0,0,1,1.7671232876712328,0.9041095890410958,1.662162162162162,0.8648648648648649,,1.0,2.0,0.0,0.0,-1
2012, Heegan S.C , Jeenyo  FC ,0,1,-1,1,Loss,3,2,0,0,0,0,1,1.5789473684210527,0.8947368421052632,1.5846153846153845,1.4,,3.0,0.0,0.0,0.0,-1
2012, Sahafi FC , Badbaado FC ,2,1,1,-1,Win,0,0,0,0,0,0,0,1.6774193548387097,1.4516129032258065,0.8260869565217391,2.4347826086956523,1.0,1.0,4.0,,,1
2012, Mogadishu City Club , Elman FC ,1,2,-1,1,Loss,1,4,0,0,0,0,1,1.7671232876712328,0.9041095890410958,1.75,1.144736842105263,,0.0,,0.0,0.0,-1
2012, Heegan S.C , Horseed S.C ,1,0,1,-1,Win,3,1,0,0,0,0,1,1.5789473684210527,0.8947368421052632,1.4583333333333333,1.1805555555555556,1.0,3.0,2.0,0.0,0.0,1
2012, Sahafi FC , Dekedda SC ,0,0,0,0,Draw,1,2,0,0,0,0,1,1.6774193548387097,1.4516129032258065,1.662162162162162,0.8648648648648649,0.0,1.0,2.0,0.0,0.0,0
2012, Badbaado FC , Jeenyo  FC ,1,3,-2,2,Loss,0,3,0,1,1,0,0,0.6521739130434783,2.9565217391304346,1.5846153846153845,1.4,,,0.0,0.0,1.0,-2
2012, Elman FC , Heegan S.C ,1,3,-2,2,Loss,4,3,0,0,0,0,0,1.8493150684931507,1.3287671232876712,1.917808219178082,0.8767123287671232,,2.0,0.0,,,-2
2012, Sahafi FC , Mogadishu City Club ,0,0,0,0,Draw,1,1,0,1,1,0,0,1.6774193548387097,1.4516129032258065,1.96,0.7333333333333333,0.0,1.0,0.0,0.0,1.0,0
2012, Badbaado FC , Horseed S.C ,0,1,-1,1,Loss,0,0,0,1,1,0,0,0.6521739130434783,2.9565217391304346,1.4583333333333333,1.1805555555555556,,,2.0,0.0,1.0,-1
2012, Jeenyo  FC , Dekedda SC ,1,1,0,0,Draw,4,2,0,0,0,0,1,1.4366197183098592,1.5211267605633803,1.662162162162162,0.8648648648648649,0.0,1.0,2.0,0.0,0.0,0
2012, Sahafi FC , Elman FC ,0,2,-2,2,Loss,1,3,0,1,1,0,0,1.6774193548387097,1.4516129032258065,1.75,1.144736842105263,,1.0,,0.0,1.0,-2
2012, Badbaado FC , Heegan S.C ,0,3,-3,3,Loss,0,3,0,1,1,0,0,0.6521739130434783,2.9565217391304346,1.917808219178082,0.8767123287671232,,,0.0,0.0,1.0,-3
2012, Jeenyo  FC , Mogadishu City Club ,1,0,1,-1,Win,4,0,0,0,0,0,1,1.4366197183098592,1.5211267605633803,1.96,0.7333333333333333,1.0,2.0,1.0,0.0,0.0,1
2012, Dekedda SC , Horseed S.C ,2,2,0,0,Draw,2,1,0,1,1,0,0,1.7333333333333334,1.04,1.4583333333333333,1.1805555555555556,0.0,1.0,2.0,0.0,1.0,0
2013, Albeder , Ummah Hospital ,0,0,0,0,Draw,0,0,0,0,0,0,0,1.0,1.5714285714285714,1.0,1.2857142857142858,0.0,0.0,0.0,,,0
2013, Geeska Afrika FC , Midnimo FC ,2,1,1,-1,Win,0,0,0,0,0,0,0,1.0434782608695652,2.9130434782608696,1.4878048780487805,1.2682926829268293,1.0,1.0,1.0,,,1
2013, Sahafi FC , Badbaado FC ,1,0,1,-1,Win,1,0,1,0,0,1,0,1.6774193548387097,1.4516129032258065,0.8260869565217391,2.4347826086956523,1.0,2.0,4.0,1.0,0.0,1
2013, Bariga Dhexe , Jazeera SC ,2,1,1,-1,Win,0,0,0,0,0,0,0,2.0,2.176470588235294,1.605263157894737,2.0789473684210527,1.0,1.0,1.0,,,1
2013, SomaliFruit FC , Gantaalaha Afgooye FC ,2,0,2,-2,Win,0,0,0,0,0,0,0,1.25,1.8125,1.2857142857142858,1.8571428571428572,1.0,1.0,1.0,,,2
2013, Waxool FC , ,6,0,6,-6,Win,0,0,0,0,0,0,0,1.1142857142857143,2.142857142857143,0.7272727272727273,2.9545454545454546,1.0,1.0,1.0,,,6
2013, Madbacadda FC , ,0,0,0,0,Draw,0,0,0,0,0,0,0,0.8,1.72,0.7272727272727273,2.9545454545454546,0.0,0.0,1.0,,,0
2013, Raadsan FC , Gasko FC ,4,2,2,-2,Win,0,0,0,0,0,0,0,1.7407407407407407,1.4074074074074074,0.8571428571428571,2.357142857142857,1.0,1.0,1.0,,,2
