Season,Date,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Result,Home_Last_5_Wins,Away_Last_5_Wins
2013,2013-05-07, Waxool FC , Raadsan FC ,1,1,0,0,Draw,1,1
2013,2013-05-08, Albeder , Gantaalaha Afgooye FC ,3,2,1,-1,Win,0,0
2013,2013-05-09, Midnimo FC , ,2,0,2,-2,Win,0,0
2013,2013-05-10, Badbaado FC , ,0,1,-1,1,Loss,0,0
2013,2013-05-12, Jamhuuriya FC , Gasko FC ,1,0,1,-1,Win,0,0
2013,2013-05-13, Ummah Hospital , Madbacadda FC ,2,0,2,-2,Win,1,1
2013,2013-05-14, Geeska Afrika FC , Raadsan FC ,1,2,-1,1,Loss,2,1
2013,2013-05-15, Sahafi FC , SomaliFruit FC ,3,1,2,-2,Win,1,1
2013,2013-05-16, Bariga Dhexe , Waxool FC ,1,1,0,0,Draw,2,1
2013,2013-05-17, , Albeder ,2,2,0,0,Draw,1,1
2013,2013-05-19, Jazeera SC , Gasko FC ,1,0,1,-1,Win,1,0
2013,2013-05-20, Gantaalaha Afgooye FC , Madbacadda FC ,1,0,1,-1,Win,0,1
2013,2013-05-21, Midnimo FC , Raadsan FC ,1,2,-1,1,Loss,1,2
2013,2013-05-22, Badbaado FC , SomaliFruit FC ,0,5,-5,5,Loss,0,1
2013,2013-05-23, Jamhuuriya FC , Waxool FC ,1,1,0,0,Draw,1,1
2013,2013-05-24, Ummah Hospital , Sahafi FC ,3,1,2,-2,Win,2,2
2013,2013-05-26, Geeska Afrika FC , Bariga Dhexe ,0,2,-2,2,Loss,2,2
2013,2013-05-27, Albeder , Madbacadda FC ,0,1,-1,1,Loss,1,1
2013,2013-05-28, , Raadsan FC ,0,1,-1,1,Loss,1,3
2013,2013-05-29, , SomaliFruit FC ,0,0,0,0,Draw,1,2
2013,2013-05-30, Jazeera SC , Waxool FC ,1,3,-2,2,Loss,2,1
2013,2013-05-31, Gantaalaha Afgooye FC , Sahafi FC ,0,3,-3,3,Loss,1,2
2013,2013-06-02, Midnimo FC , Bariga Dhexe ,1,0,1,-1,Win,1,3
2013,2013-06-03, Badbaado FC , Ummah Hospital ,1,1,0,0,Draw,0,3
2013,2013-06-04, Jamhuuriya FC , Geeska Afrika FC ,1,1,0,0,Draw,1,2
2013,2013-06-05, SomaliFruit FC , Albeder ,1,1,0,0,Draw,2,1
2013,2013-06-06, Gasko FC , Waxool FC ,2,5,-3,3,Loss,0,2
2013,2013-06-07, Madbacadda FC , Sahafi FC ,1,1,0,0,Draw,2,3
2013,2013-06-09, , Bariga Dhexe ,0,4,-4,4,Loss,1,3
2013,2013-06-10, , Ummah Hospital ,2,2,0,0,Draw,1,3
2013,2013-06-11, Jazeera SC , Geeska Afrika FC ,1,1,0,0,Draw,2,2
2013,2013-06-12, Gantaalaha Afgooye FC , Badbaado FC ,0,2,-2,2,Loss,1,0
2013,2013-06-13, Midnimo FC , Jamhuuriya FC ,1,1,0,0,Draw,2,1
2013,2013-06-14, Albeder , Sahafi FC ,0,3,-3,3,Loss,1,2
2013,2013-06-16, Raadsan FC , Bariga Dhexe ,1,2,-1,1,Loss,4,3
2013,2013-06-17, SomaliFruit FC , Ummah Hospital ,1,1,0,0,Draw,1,3
2013,2013-06-18, Gasko FC , Geeska Afrika FC ,4,2,2,-2,Win,0,1
2013,2013-06-19, Madbacadda FC , Badbaado FC ,1,2,-1,1,Loss,2,1
2013,2013-06-20, , Jamhuuriya FC ,1,2,-1,1,Loss,0,1
2013,2013-06-21, , Gantaalaha Afgooye FC ,1,1,0,0,Draw,0,1
2013,2013-06-24, Waxool FC , Geeska Afrika FC ,1,1,0,0,Draw,2,0
2013,2013-06-25, Raadsan FC , Jamhuuriya FC ,0,2,-2,2,Loss,3,2
2013,2013-06-26, Gasko FC , Midnimo FC ,0,0,0,0,Draw,1,2
2013,2013-06-27, , Jazeera SC ,0,3,-3,3,Loss,0,2
2013,2013-06-28, Bariga Dhexe , Jamhuuriya FC ,0,1,-1,1,Loss,3,2
2013,2013-06-30, Waxool FC , Midnimo FC ,3,0,3,-3,Win,2,2
2013,2013-07-01, Raadsan FC , Jazeera SC ,3,2,1,-1,Win,3,3
2013,2013-07-02, Gasko FC , ,4,1,3,-3,Win,1,0
2013,2013-07-03, Jazeera SC , Midnimo FC ,2,1,1,-1,Win,2,1
2013,2013-08-11, Midnimo FC , Geeska Afrika FC ,2,1,1,-1,Win,1,0
2013,2013-08-12, Ummah Hospital , Albeder ,2,2,0,0,Draw,2,1
2013,2013-08-13, Jazeera SC , Bariga Dhexe ,0,3,-3,3,Loss,2,3
2013,2013-08-14, Badbaado FC , Sahafi FC ,0,2,-2,2,Loss,2,3
2013,2013-08-15, , Waxool FC ,1,4,-3,3,Loss,0,3
2013,2013-08-16, Gantaalaha Afgooye FC , SomaliFruit FC ,1,0,1,-1,Win,1,1
2013,2013-08-18, Gasko FC , Raadsan FC ,2,1,1,-1,Win,2,3
2013,2013-08-19, , Madbacadda FC ,2,1,1,-1,Win,0,1
2013,2013-08-20, Jazeera SC , Jamhuuriya FC ,3,2,1,-1,Win,2,3
2013,2013-08-21, Albeder , Badbaado FC ,1,1,0,0,Draw,0,2
2013,2013-08-22, , Geeska Afrika FC ,2,2,0,0,Draw,1,0
2013,2013-08-23, Gantaalaha Afgooye FC , Ummah Hospital ,1,1,0,0,Draw,2,1
2013,2013-08-25, Gasko FC , Bariga Dhexe ,0,0,0,0,Draw,3,3
2013,2013-08-26, , Sahafi FC ,1,3,-2,2,Loss,1,3
2013,2013-08-27, Raadsan FC , Waxool FC ,2,1,1,-1,Win,2,4
2013,2013-08-28, Madbacadda FC , SomaliFruit FC ,0,3,-3,3,Loss,1,1
2013,2013-08-29, , Midnimo FC ,0,1,-1,1,Loss,1,1
2013,2013-08-30, Gantaalaha Afgooye FC , Albeder ,1,1,0,0,Draw,1,0
2013,2013-09-01, Gasko FC , Jamhuuriya FC ,1,2,-1,1,Loss,3,3
